"rt","stimulus","response","typeoftrial","subject","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","question_order"
"4679","Thank you for helping us with our Psych experiment! You will be shown a series of sentences in English and Spanish. Please rate the accuracy of our translations! Thank you :) <br> <br> Press any key to continue </br>","k","instructions","61209","html-keyboard-response","0","4681","0.0-0.0","25","1","2022-11-09 21:38:48","88e9cdf1e7919d78e5271708c3ed23e4","139.140.221.157","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7",""
"26368","","{""Q0"":3}","","","survey-likert","1","31053","0.0-1.0-0.0","25","1","2022-11-09 21:38:48","88e9cdf1e7919d78e5271708c3ed23e4","139.140.221.157","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"15760","","{""Q0"":3}","","","survey-likert","2","46815","0.0-1.0-0.1","25","1","2022-11-09 21:38:48","88e9cdf1e7919d78e5271708c3ed23e4","139.140.221.157","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"13048","","{""Q0"":3}","","","survey-likert","3","59865","0.0-1.0-0.2","25","1","2022-11-09 21:38:48","88e9cdf1e7919d78e5271708c3ed23e4","139.140.221.157","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"16813","","{""Q0"":4}","","","survey-likert","4","76681","0.0-1.0-0.3","25","1","2022-11-09 21:38:48","88e9cdf1e7919d78e5271708c3ed23e4","139.140.221.157","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"15317","","{""Q0"":3}","","","survey-likert","5","92000","0.0-1.0-0.4","25","1","2022-11-09 21:38:48","88e9cdf1e7919d78e5271708c3ed23e4","139.140.221.157","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"25525","","{""Q0"":3}","","","survey-likert","6","117530","0.0-1.0-0.5","25","1","2022-11-09 21:38:48","88e9cdf1e7919d78e5271708c3ed23e4","139.140.221.157","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"19066","","{""Q0"":4}","","","survey-likert","7","136598","0.0-1.0-0.6","25","1","2022-11-09 21:38:48","88e9cdf1e7919d78e5271708c3ed23e4","139.140.221.157","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"11630","","{""Q0"":4}","","","survey-likert","8","148231","0.0-1.0-0.7","25","1","2022-11-09 21:38:48","88e9cdf1e7919d78e5271708c3ed23e4","139.140.221.157","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
"7112","","{""Q0"":4}","","","survey-likert","9","155346","0.0-1.0-0.8","25","1","2022-11-09 21:38:48","88e9cdf1e7919d78e5271708c3ed23e4","139.140.221.157","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15","Macintosh","Safari","15.6.1","OS X","10_15_7","[0]"
