"rt","stimulus","response","typeoftrial","subject","trial_type","trial_index","time_elapsed","internal_node_id","run_id","condition","recorded_at","source_code_version","ip","user_agent","device","browser","browser_version","platform","platform_version","question_order"
"2322","Thank you for helping us with our Psych experiment! You will be shown a series of sentences in English and Spanish. Please rate the accuracy of our translations! Thank you :) <br> <br> Press any key to continue </br>","n","instructions","44615","html-keyboard-response","0","2322","0.0-0.0","45","1","2022-11-10 04:13:13","88e9cdf1e7919d78e5271708c3ed23e4","139.140.204.165","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0","Macintosh","Firefox","106.0","OS X","10.15",""
"9583","","{""Q0"":3}","","","survey-likert","1","11905","0.0-1.0-0.0","45","1","2022-11-10 04:13:13","88e9cdf1e7919d78e5271708c3ed23e4","139.140.204.165","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0","Macintosh","Firefox","106.0","OS X","10.15","[0]"
"7698","","{""Q0"":1}","","","survey-likert","2","19609","0.0-1.0-0.1","45","1","2022-11-10 04:13:13","88e9cdf1e7919d78e5271708c3ed23e4","139.140.204.165","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0","Macintosh","Firefox","106.0","OS X","10.15","[0]"
"14778","","{""Q0"":3}","","","survey-likert","3","34392","0.0-1.0-0.2","45","1","2022-11-10 04:13:13","88e9cdf1e7919d78e5271708c3ed23e4","139.140.204.165","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0","Macintosh","Firefox","106.0","OS X","10.15","[0]"
"32062","","{""Q0"":2}","","","survey-likert","4","66459","0.0-1.0-0.3","45","1","2022-11-10 04:13:13","88e9cdf1e7919d78e5271708c3ed23e4","139.140.204.165","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0","Macintosh","Firefox","106.0","OS X","10.15","[0]"
"10328","","{""Q0"":4}","","","survey-likert","5","76793","0.0-1.0-0.4","45","1","2022-11-10 04:13:13","88e9cdf1e7919d78e5271708c3ed23e4","139.140.204.165","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0","Macintosh","Firefox","106.0","OS X","10.15","[0]"
"6626","","{""Q0"":0}","","","survey-likert","6","83427","0.0-1.0-0.5","45","1","2022-11-10 04:13:13","88e9cdf1e7919d78e5271708c3ed23e4","139.140.204.165","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0","Macintosh","Firefox","106.0","OS X","10.15","[0]"
"9476","","{""Q0"":3}","","","survey-likert","7","92909","0.0-1.0-0.6","45","1","2022-11-10 04:13:13","88e9cdf1e7919d78e5271708c3ed23e4","139.140.204.165","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0","Macintosh","Firefox","106.0","OS X","10.15","[0]"
"7779","","{""Q0"":2}","","","survey-likert","8","100694","0.0-1.0-0.7","45","1","2022-11-10 04:13:13","88e9cdf1e7919d78e5271708c3ed23e4","139.140.204.165","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0","Macintosh","Firefox","106.0","OS X","10.15","[0]"
"2343","","{""Q0"":3}","","","survey-likert","9","103042","0.0-1.0-0.8","45","1","2022-11-10 04:13:13","88e9cdf1e7919d78e5271708c3ed23e4","139.140.204.165","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0","Macintosh","Firefox","106.0","OS X","10.15","[0]"
"14994","","{""Q0"":4}","","","survey-likert","10","118041","0.0-1.0-0.9","45","1","2022-11-10 04:13:13","88e9cdf1e7919d78e5271708c3ed23e4","139.140.204.165","Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:106.0) Gecko/20100101 Firefox/106.0","Macintosh","Firefox","106.0","OS X","10.15","[0]"
